alpha,chi,q,initial,final,status,omega_res_M,separation_M,tidal_strength,r_99_over_b,landau_zener_z,depletion_probability,numerical_error,systematic_error,message,hydrogenic_kernel_M_real,hydrogenic_kernel_M_imag,hydrogenic_kernel_M_abs,semirelativistic_kernel_M_real,semirelativistic_kernel_M_imag,semirelativistic_kernel_M_abs,covariant_kernel_M_real,covariant_kernel_M_imag,covariant_kernel_M_abs,eta_M_real,eta_M_imag,eta_M_abs
0.35,0.9338374008792341,0.0001,21+1,21-1,tidal_expansion_invalid,0.00035095866393800024,200.9912558062611,1.2315966782636357e-11,0.41746335942741175,0.00287784974634267,0.01791956365363241,3.1224774235900605e-09,31.294393561413717,covariant adiabatic IRG tide; global binary effects excluded,209.91253644314776,-0.0,209.91253644314776,-11.095174842658183,-126.46210471756324,126.94789023211487,-2.98153540735774,-125.14206143675717,125.17757424565487,-3.6720491038272086e-11,-1.5412454717657396e-09,1.5416828463404817e-09
0.35,0.6201272777429633,0.0001,32+2,32+0,ok,6.863557426767253e-06,2768.949028815752,4.710371017951396e-15,0.06153295920403983,0.009848306708590103,0.06000313235106962,4.772230220257565e-10,111.53154398113038,covariant adiabatic IRG tide; global binary effects excluded,514.1786048990912,-0.0,514.1786048990912,0.0001480347990002495,445.9313198707447,445.93131987076924,-1.1367826396141305,446.12472759337993,446.12617592452153,-5.354667999348687e-15,2.1014129872473183e-12,2.1014198094243523e-12
0.35,0.6201272777429633,0.0001,32+2,30+0,tidal_expansion_invalid,0.007099768273823026,27.071876467526867,5.040166937504649e-09,6.293676311376523,3.0207101784713925e-05,0.00018977880782956028,1.5486507353051452e-09,1.9423268364361108,covariant adiabatic IRG tide; global binary effects excluded,-908.9479456629637,0.0,908.9479456629637,6.006651322510245,-6.362145891006362,8.749672019490971,6.920123960557725,3.531858010049871,7.769307345744443,3.4878579989436774e-08,1.780115397021432e-08,3.915860601133314e-08
0.35,0.4410151180265482,0.0001,43+3,43+1,ok,6.56771268953138e-07,13235.43984389805,4.313053691853966e-17,0.02094400878774145,0.023016095987868256,0.1346440866352157,3.16305561091073e-08,252.1091545391933,covariant adiabatic IRG tide; global binary effects excluded,1083.9836770726263,-0.0,1083.9836770726263,8.524214446863935e-10,1007.4918252349283,1007.4918252349283,-0.40269367899625763,1008.4365377539979,1008.4366181567732,-1.736839458881065e-17,4.349440932160312e-14,4.3494412789417986e-14
0.35,0.4410151180265482,0.0001,43+3,41+1,tidal_expansion_invalid,6.732660997371687e-05,604.2592548512804,4.532419168636128e-13,0.5017982363628671,0.6628276448648331,0.984465142661445,1.0462879621525639e-08,625.3804861228446,covariant adiabatic IRG tide; global binary effects excluded,-2655.2068983337886,0.0,2655.2068983337886,1.1262486185723606,2512.7020654742237,2512.7023178789764,-114.85063435041518,2498.884025032221,2501.5219444913782,-5.205512166598407e-11,1.132598985525464e-09,1.1337946011976644e-09
0.375,0.9542898557486135,0.0001,21+1,21-1,tidal_expansion_invalid,0.0005296484483029995,152.76458088841747,2.8049942884689047e-11,0.46924433154034245,0.0018110207681486519,0.011314483362568368,5.6425149922961656e-09,23.179580658322188,covariant adiabatic IRG tide; global binary effects excluded,170.66666666666586,-0.0,170.66666666666586,-14.935333590585934,-93.7286872681649,94.91117429721088,-6.8640835110220495,-92.46389408566102,92.71832263328875,-1.9253715043990435e-10,-2.593606947998729e-09,2.6007436542279213e-09
0.375,0.6534438016821429,0.0001,32+2,32+0,ok,1.1300365537758594e-05,1985.8791421885367,1.2768549273768833e-14,0.07423928742668155,0.007351423064534334,0.04513981597891233,5.696957193175922e-10,88.67722684196798,covariant adiabatic IRG tide; global binary effects excluded,418.0462494349945,-0.0,418.0462494349945,0.000346044216746635,354.4979423590536,354.49794235922246,-1.295680168063472,354.70654093068487,354.7089073678719,-1.6543956068963526e-14,4.529087945601551e-12,4.5291181615713764e-12
0.375,0.6534438016821429,0.0001,32+2,30+0,tidal_expansion_invalid,0.0075957534539890514,25.880176622240654,5.768970156363025e-09,5.6966478468655195,2.6459326314139035e-05,0.00016623503176053437,2.7111959022742308e-09,1.797502038006096,covariant adiabatic IRG tide; global binary effects excluded,-739.0083445627178,0.0,739.0083445627178,4.462526892067524,-7.0552785355823575,8.348119637204235,6.916410651333718,1.964556165726649,7.190008152024384,3.9900566636695564e-08,1.133346589057601e-08,4.1478942453035524e-08
0.375,,,43+3,43+1,mode_not_converged,,,,,,,,,CF saturation branch failed for 43+3: residual=2.091e-03,,,,,,,,,,,,
0.375,,,43+3,41+1,mode_not_converged,,,,,,,,,CF saturation branch failed for 43+3: residual=2.091e-03,,,,,,,,,,,,
0.4,0.9702136571099393,0.0001,21+1,21-1,tidal_expansion_invalid,0.0006975247976742927,127.14756318321567,4.864921941511478e-11,0.4848974286120787,0.0011469624850042276,0.007180672718059308,1.3619857581453181e-08,17.619346977720753,covariant adiabatic IRG tide; global binary effects excluded,140.62499999999923,-0.0,140.62499999999923,-17.827084883232448,-70.89498434554426,73.10200928010762,-10.349270502001804,-69.71337609682573,70.47738791088301,-5.034839314382608e-10,-3.3915013299028924e-09,3.4286699082807044e-09
