alpha,chi,state,omega_real_M,gamma_M,separation_real,separation_imag,bilinear_norm_real,bilinear_norm_imag,r_99_M,cf_residual,radial_residual,angular_residual,converged,message
0.22499999999999998,0.4272064440933289,32+2,0.22435497311504574,1.3287344131137306e-20,6.000007556916206,-1.5544644858664048e-22,0.9999999999999999,2.760014503594688e-16,423.4882562708121,2.902397409849602e-13,1.4954189593688429e-13,6.002224621778457e-17,True,ok
0.22499999999999998,0.4272064440933289,30+0,0.22428081338679337,-0.0001065613792285438,1.9657484937223757e-05,2.9078634584496254e-06,1.000000000001239,-4.563015004906135e-13,440.5621856548655,2.7033716608567168e-14,8.914942041470398e-10,5.173069403029158e-17,True,ok
0.25,0.7959734945938708,21+1,0.24791561944249552,1.2899048060408805e-19,2.0001315083850564,-8.104116950479565e-21,1.0,-2.1699028178257558e-17,174.72677765375104,1.5573321172850603e-14,4.983070263492265e-13,5.0138570572680413e-17,True,ok
0.25,0.7959734945938708,21-1,0.24786340662988413,-3.2344510769674473e-06,2.0001347884270606,2.0316871069833572e-07,1.0000000000000004,6.574047167371647e-16,170.84713291637976,5.114145054154239e-15,4.090645445764283e-12,8.276500307606147e-17,True,ok
0.25,0.46911119480762914,32+2,0.24911128042320868,4.705731674317935e-20,6.000013944890539,-7.370601814609997e-22,1.0,-1.6877307026916168e-16,341.49446982015024,6.041101651914489e-14,1.0772811071393088e-13,6.002230961057337e-17,True,ok
0.25,0.46911119480762914,32+0,0.24911003365390982,-1.2821014909336958e-12,6.000051203033578,7.363261951537866e-14,1.0000000000000002,7.431915484048324e-12,341.02474458514035,2.6412496776623096e-13,7.973018623888868e-13,4.9008108502830596e-17,True,ok
0.25,0.46911119480762914,32+2,0.24911128042320868,4.705731674317935e-20,6.000013944890539,-7.370601814609997e-22,1.0,-1.6877307026916168e-16,341.49446982015024,6.041101651914489e-14,1.0772811071393088e-13,6.002230961057337e-17,True,ok
0.25,0.46911119480762914,30+0,0.24901364793448275,-0.00018693317284103269,3.610800857697821e-05,6.82913473435262e-06,0.9999999999998621,1.1738678605544006e-13,352.2837866186048,4.244491725279771e-14,1.701903037261152e-10,6.825397698862967e-17,True,ok
0.275,0.8398619844523131,21+1,0.27218757483346534,-5.2308978560647547e-20,2.0002170962243833,4.016972179342521e-21,0.9999999999999996,1.5393529152476043e-16,142.5508285575704,4.3907664649690535e-14,8.270828410219347e-13,8.376274356696896e-17,True,ok
0.275,0.8398619844523131,21-1,0.2720772171127697,-1.2477696561684803e-05,2.000225569239207,9.578114931390136e-07,0.9999999999999999,4.3190548793675676e-16,137.65406777463693,1.4024680341197648e-15,4.992840525600947e-12,8.798738024518472e-17,True,ok
0.275,0.5094294595450876,32+2,0.27381137257984556,-8.788660978982472e-19,6.000024184544862,1.7843180189315186e-20,0.9999999999999998,-1.4118956931527868e-16,280.84207789653794,3.541231130006694e-13,1.491776149290914e-13,5.3862792981733484e-17,True,ok
0.275,0.5094294595450876,32+0,0.27380892222547626,-6.343812647040866e-12,6.000088859571377,4.72250359661491e-13,0.9999999999999999,3.227622635462144e-11,280.2744824985699,3.824399985336007e-13,7.972433243412809e-13,4.9008263621478725e-17,True,ok
0.275,0.5094294595450876,32+2,0.27381137257984556,-8.788660978982472e-19,6.000024184544862,1.7843180189315186e-20,0.9999999999999998,-1.4118956931527868e-16,280.84207789653794,3.541231130006694e-13,1.491776149290914e-13,5.3862792981733484e-17,True,ok
0.275,0.5094294595450876,30+0,0.273695380383789,-0.00030227321326622346,6.193185666776272e-05,1.4313202322956235e-05,0.9999999999998188,3.404078234570118e-13,288.1842014681113,1.461587233036585e-13,3.628109322281258e-11,7.082005661185741e-17,True,ok
0.3,0.8771530275949279,21+1,0.2962932484797508,-3.365176280512623e-18,2.0003401082874284,3.068361589094517e-19,0.9999999999999998,-1.6920394349884685e-16,118.08047417580809,4.8306954391107036e-14,9.939691593231979e-13,5.19128767688263e-17,True,ok
0.3,0.8771530275949279,21-1,0.2960725337516903,-4.339853571511092e-05,2.0003602257657125,3.954104680675752e-06,1.0000000000000004,-6.932591978779656e-16,112.04865359321873,9.95686712439551e-16,7.268364284848229e-12,8.635623013012139e-17,True,ok
0.3,0.5480790804374224,32+2,0.2984486854141257,-1.3501888129101635e-19,6.000039839470446,3.458432369026435e-21,1.0000000000000002,-2.0585938139007445e-16,234.72209928220005,5.887658950491183e-13,3.1981373004102506e-13,4.9198766639709826e-17,True,ok
0.3,0.5480790804374224,32+0,0.2984441348278812,-2.83228763734976e-11,6.000146506795781,2.660081545559686e-12,1.0000000000000002,5.098294176120842e-11,234.0487424479891,3.1762724699816697e-13,7.031345071034203e-13,6.364755389651741e-17,True,ok
0.3,0.5480790804374224,32+2,0.2984486854141257,-1.3501888129101635e-19,6.000039839470446,3.458432369026435e-21,1.0000000000000002,-2.0585938139007445e-16,234.72209928220005,5.887658950491183e-13,3.1981373004102506e-13,4.9198766639709826e-17,True,ok
0.3,0.5480790804374224,30+0,0.2983256565958216,-0.00045912671453004626,0.00010033058786838742,2.7428795803788585e-05,0.9999999999998467,1.6912191861794684e-14,240.29460869478865,2.503204684030447e-13,9.021120514760759e-12,6.880605158897537e-17,True,ok
0.32499999999999996,0.9083063391388978,21+1,0.32020825567268035,-8.255648994357201e-18,2.0005101089225517,8.722837628321045e-19,0.9999999999999999,4.687085127610331e-17,99.0323359260418,4.550129226090628e-14,9.225686879378023e-13,8.374463740732586e-17,True,ok
0.32499999999999996,0.9083063391388978,21-1,0.3197957861355027,-0.00013416059231678167,2.000553664755261,1.41568758620567e-05,1.0,-2.588735974716483e-16,91.93023928344552,3.2601540044243225e-16,1.240518775415756e-11,4.85867299948383e-17,True,ok
0.32499999999999996,0.584994669680646,32+2,0.3230163854498812,2.1287824375548426e-18,6.000062841486736,-6.723360630890269e-20,1.0,-6.573540805196894e-17,198.83835846233507,4.179209883746158e-13,2.3266450677653915e-13,9.121252246267465e-17,True,ok
0.32499999999999996,0.584994669680646,32+0,0.32300832360788123,-1.1619777208043287e-10,6.000231355743268,1.3456315231893454e-11,1.0,-5.273116475406265e-10,198.0511969793978,1.3973805732312544e-13,7.742927269150241e-13,5.583070842006725e-17,True,ok
0.32499999999999996,0.584994669680646,32+2,0.3230163854498812,2.1287824375548426e-18,6.000062841486736,-6.723360630890269e-20,1.0,-6.573540805196894e-17,198.83835846233507,4.179209883746158e-13,2.3266450677653915e-13,9.121252246267465e-17,True,ok
0.32499999999999996,0.584994669680646,30+0,0.3204284120149543,-0.002192936456448695,0.00033712414524111656,0.0001602989137778021,1.0,-1.394717674685353e-15,103.2284351814875,2.0397795878739422e-14,7.535859177860839e-13,7.668513953334221e-17,True,ok
0.32499999999999996,0.41263333480065467,43+3,0.3239054399586606,2.0908611089370075e-18,12.000013437133845,-2.562468817584103e-20,0.9999999999999998,-4.0235333244704284e-17,322.57652749058843,5.10517316354654e-13,1.2851177763683582e-13,8.008788895566948e-17,True,ok
0.32499999999999996,0.41263333480065467,43+1,0.3239046614047415,-7.667159881867861e-19,12.000056476118242,3.9465482905698136e-20,1.0,1.2477621892248707e-16,322.3403022484969,1.0317927312931651e-11,6.565504693073043e-13,6.625154734609029e-17,True,ok
0.32499999999999996,0.41263333480065467,43+3,0.3239054399586606,2.0908611089370075e-18,12.000013437133845,-2.562468817584103e-20,0.9999999999999998,-4.0235333244704284e-17,322.57652749058843,5.10517316354654e-13,1.2851177763683582e-13,8.008788895566948e-17,True,ok
