alpha,chi,initial,final,q,eta_abs_M,landau_zener_z,depletion_probability
0.125,0.24594549892517448,32+2,32+0,0.00031622776601683794,7.892747352504783e-17,1.7016820184671646,0.9999772736032336
0.125,0.24594549892517448,32+2,32+0,0.00042169650342858224,1.0524038147087883e-16,2.2688307365630984,0.9999993559464412
0.125,0.24594549892517448,32+2,32+0,0.0005623413251903491,1.4032057717671972e-16,3.024825635383088,0.9999999944281571
0.125,0.24594549892517448,32+2,32+0,0.0007498942093324559,1.8708542834759018e-16,4.032409959521827,0.9999999999900792
0.125,0.24594549892517448,32+2,32+0,0.001,2.4942009368163347e-16,5.375066038137943,0.9999999999999979
0.125,0.24594549892517448,32+2,32+0,0.001333521432163324,3.3249625669276496e-16,7.163787169897376,1.0
0.125,0.24594549892517448,32+2,32+0,0.0017782794100389228,4.4319403283782423e-16,9.545996007399921,1.0
0.125,0.24594549892517448,32+2,32+0,0.0023713737056616554,5.906590467396628e-16,12.717239235713908,1.0
0.125,0.24594549892517448,32+2,32+0,0.0031622776601683794,7.870355010540377e-16,16.936432884545663,1.0
0.125,0.24594549892517448,32+2,32+0,0.004216965034285823,1.048426432112407e-15,22.545576430007166,1.0
0.125,0.24594549892517448,32+2,32+0,0.005623413251903491,1.3961437590442356e-15,29.994961340906045,1.0
0.125,0.24594549892517448,32+2,32+0,0.007498942093324558,1.8583217788591567e-15,39.87489956479162,1.0
0.125,0.24594549892517448,32+2,32+0,0.01,2.47197538391401e-15,52.95475672184968,1.0
0.125,0.24594549892517448,32+2,32+0,0.01333521432163324,3.285582528581737e-15,70.22935963136189,1.0
0.125,0.24594549892517448,32+2,32+0,0.01778279410038923,4.362248588152883e-15,92.9712690214401,1.0
0.125,0.24594549892517448,32+2,32+0,0.023713737056616554,5.7834499884157414e-15,122.78435930687603,1.0
0.125,0.24594549892517448,32+2,32+0,0.03162277660168379,7.65322697156405e-15,161.6487671264,1.0
0.125,0.24594549892517448,32+2,32+0,0.042169650342858224,1.0102458936232454e-14,211.93852006643792,1.0
0.125,0.24594549892517448,32+2,32+0,0.05623413251903491,1.3292458642782076e-14,276.3802066883157,1.0
0.125,0.24594549892517448,32+2,32+0,0.07498942093324558,1.7416517686696825e-14,357.9043275211588,1.0
0.125,0.24594549892517448,32+2,32+0,0.1,2.269722852502864e-14,459.32433848076795,1.0
