alpha,chi,state,omega_real_M,gamma_M,separation_real,separation_imag,bilinear_norm_real,bilinear_norm_imag,r_99_M,cf_residual,radial_residual,angular_residual,converged,message,truncation,real_frequency_relative_to_max_N,gamma_relative_to_max_N,norm_error
0.4,0.9702136571099393,21+1,0.3905063461684983,-7.11545497335539e-17,2.001412646172406,1.0458882746146476e-17,1.0000000000000002,4.506544104069766e-17,61.65341900600848,4.612837609601222e-14,1.8333145221401e-11,5.1952159849113506e-17,True,ok,400,0.0,0.0,2.2657162344942014e-16
0.4,0.9702136571099393,21-1,0.389111299276599,-0.0016151073326801369,2.0016178279254073,0.00023654261038802234,0.9999999999999996,1.418427007793266e-13,54.567458873219216,3.949424004817551e-16,4.2380604702136094e-07,8.794445365591806e-17,False,mode-function or normalization residual failed,150,6.947753307517319e-09,8.633107410715477e-07,1.4184339596752427e-13
0.4,0.9702136571099393,21-1,0.3891112966012441,-0.0016151059607387756,2.001617828316384,0.00023654240781109453,1.0,-1.3500095139007406e-13,54.56747007882178,3.104386771151153e-16,1.0020423825744745e-08,8.367625881774176e-17,False,mode-function or normalization residual failed,250,7.220149075641909e-11,1.3867166672662512e-08,1.3500095139007406e-13
0.4,0.9702136571099393,21-1,0.3891112965731497,-0.0016151059383418323,2.0016178283204864,0.00023654240451362126,0.9999999999999991,1.5358287558386863e-13,54.56747048759194,1.4700400346924369e-15,1.932481784519605e-10,5.3982577321675535e-17,True,ok,400,0.0,0.0,1.5358544375530935e-13
0.4,0.684926173634467,32+2,0.39622887379271227,-7.272778811748144e-19,6.000201228806568,3.862329615084164e-20,0.9999999999999999,-1.4717325777490556e-16,128.65876062141385,3.100706573741942e-13,3.72129323008831e-12,9.120968922522465e-17,True,ok,150,2.80197405605017e-16,0.3257577565539169,1.8435270393503076e-16
0.4,0.684926173634467,32+2,0.39622887379271216,5.988307915716983e-20,6.000201228806568,-3.180190076694664e-21,0.9999999999999997,2.3245150699542064e-17,128.6587606214184,9.192896623057784e-14,3.2719948787411195e-12,9.120968922522465e-17,True,ok,250,0.0,1.0555161963267303,3.338770759242827e-16
0.4,0.684926173634467,32+2,0.39622887379271216,-1.078659618622624e-18,6.000201228806568,5.728400515730994e-20,1.0000000000000002,5.259362636822668e-17,128.65876062141945,8.880098898121735e-14,3.271958604858817e-12,9.120968922522465e-17,True,ok,400,0.0,0.0,2.28188290915362e-16
0.4,0.684926173634467,32+0,0.3961927136490371,-5.495849422120269e-09,6.000744914834046,1.0701783295006796e-09,0.9999999991711256,3.5679920872513584e-10,127.44801069769099,3.3448870613130584e-14,1.2726184411349918e-11,8.034204677048896e-17,True,ok,150,1.4011148948193872e-16,4.800382031985598e-08,9.024070416305909e-10
0.4,0.684926173634467,32+0,0.39619271364903713,-5.495849167225461e-09,6.000744914834046,1.0701782798685907e-09,0.999999999171126,3.5679946364868285e-10,127.4480106976891,2.2916889680742362e-14,1.2726151845537929e-11,8.034204677048896e-17,True,ok,250,0.0,1.6243073277300496e-09,9.024067345213078e-10
0.4,0.684926173634467,32+0,0.39619271364903713,-5.495849158298513e-09,6.000744914834046,1.070178278128689e-09,0.999999999171126,3.5679944557547137e-10,127.44801069769017,1.249001806427725e-14,1.2726214779067642e-11,5.583459999255066e-17,True,ok,400,0.0,0.0,9.024067273754037e-10
