alpha,chi,q,status,residual,discriminant_normalized,omega_res_M,radius_M,radius_over_cloud,eta_M,delta_gamma_M,analytic_q
0.06716163415705019,0.6893444444444444,1.279742550420105,root_q_gt_1,2.178360376504244e-16,3.205608574587422e-16,5.272086924435731e-09,434483.7721515142,489.95486959625885,4.635330175731957e-13,9.270660351463916e-13,1.2797425504201059
0.06716163415705019,0.6943388888888888,1.2567656819825392,root_q_gt_1,2.164353870402167e-16,2.1096786737540592e-16,5.310284295086331e-09,430940.1661192867,485.9588468614555,4.665327479444343e-13,9.330654958888687e-13,1.2567656819825404
0.06716163415705019,0.6993333333333334,1.2345421586227276,root_q_gt_1,4.3011368253068154e-16,4.165779663112387e-16,5.348481665736931e-09,427473.4799345301,482.0495644291735,4.695232910247472e-13,9.390465820494949e-13,1.234542158622728
0.06716163415705019,0.7043277777777778,1.2130347295667234,root_q_gt_1,0.0,0.0,5.38667903638753e-09,424080.86508503195,478.2238101140122,4.725044999259766e-13,9.450089998519531e-13,1.2130347295667236
0.06716163415705019,0.7093222222222222,1.1922085377685852,root_q_gt_1,2.1236434312587817e-16,2.0310610224694414e-16,5.42487640703813e-09,420759.6218251105,474.47853949031486,4.754762234658076e-13,9.509524469316154e-13,1.192208537768586
0.06716163415705019,0.7143166666666667,1.1720309294425273,root_q_gt_1,2.1104956400501487e-16,2.0059896740902813e-16,5.4630737776887305e-09,417507.189066797,470.81086449274466,4.784383059227271e-13,9.568766118454545e-13,1.1720309294425284
0.06716163415705019,0.7193111111111111,1.1524712814055162,root_q_gt_1,2.0975523544263434e-16,1.9814603831716472e-16,5.50127114833933e-09,414321.135104253,467.2180429564768,4.813905867722897e-13,9.627811735445793e-13,1.1524712814055165
0.06716163415705019,0.7243055555555555,1.1335008443086874,root_q_gt_1,0.0,0.0,5.53946851898993e-09,411199.1490902841,463.69746900550746,4.843329004029048e-13,9.686658008058096e-13,1.1335008443086878
0.06716163415705019,0.7293,1.1150926000682917,root_q_gt_1,2.07226417162396e-16,1.9339712389977722e-16,5.577665889640529e-09,408139.0331927827,460.2466642077005,4.872650758091312e-13,9.745301516182621e-13,1.1150926000682913
0.06716163415705019,0.7342944444444445,1.097221132008048,root_q_gt_1,2.0599120131321372e-16,1.9109842832158581e-16,5.615863260291129e-09,405138.6953667998,456.8632694240593,4.90186936260235e-13,9.803738725204698e-13,1.0972211320080472
0.06716163415705019,0.7392888888888889,1.0798625063992273,root_q_gt_1,0.0,0.0,5.654060630941729e-09,402196.1426848273,453.54503728747864,4.930982989414984e-13,9.861965978829969e-13,1.0798625063992273
