x,omega_M,population_211,population_21m1,norm
-10145.083413478447,8.011551843060374e-08,0.9999255223251643,6.512206464784792e-05,0.9999906443898121
-10145.083402878432,8.011551843309516e-08,0.9999293795061212,6.111365634738943e-05,0.9999904931624686
-10145.083392278417,8.011551843558656e-08,0.999933535350626,5.681654205288621e-05,0.9999903518926789
-10145.083381678402,8.011551843807798e-08,0.9999379289214106,5.2292277466733034e-05,0.9999902211988774
-10145.083371078386,8.011551844056938e-08,0.999942496025624,4.76055225515315e-05,0.9999901015481756
-10145.083360478371,8.011551844306079e-08,0.9999471701410817,4.282310895652949e-05,0.9999899932500382
-10145.083349878356,8.01155184455522e-08,0.999951883373626,3.801307860272278e-05,0.9999898964522287
-10145.08333927834,8.011551844804361e-08,0.9999565674318267,3.324370725138003e-05,0.999989811139078
-10145.083328678325,8.011551845053501e-08,0.9999611546050347,2.858252706253691e-05,0.9999897371320972
-10145.08331807831,8.011551845302641e-08,0.9999655787307848,2.40953621309515e-05,0.9999896740929158
-10145.083307478295,8.011551845551783e-08,0.9999697761377352,1.984539076787455e-05,0.999989621528503
-10145.08329687828,8.011551845800923e-08,0.9999736865507074,1.5892247881377882e-05,0.9999895787985887
-10145.083286763525,8.011551846038659e-08,0.9999770988701875,1.2447611143263996e-05,0.9999895464813308
-10145.083278589815,8.011551846230772e-08,0.9999795976350178,9.928223290632897e-06,0.9999895258583084
-10145.083270416104,8.011551846422886e-08,0.9999818421332332,7.667518896359487e-06,0.9999895096521295
-10145.083262242393,8.011551846614998e-08,0.9999838133750154,5.683992620143336e-06,0.9999894973676355
-10145.083254068682,8.011551846807112e-08,0.9999854947320641,3.99374563678438e-06,0.9999894884777009
-10145.083247529714,8.011551846960804e-08,0.9999866215186004,2.86191938071389e-06,0.9999894834379811
-10145.083239356003,8.011551847152916e-08,0.999987747230191,1.7320152186673006e-06,0.9999894792454097
-10145.083231182292,8.01155184734503e-08,0.9999885501460133,9.266949003416614e-07,0.9999894768409137
